id_lab,id,subset,no,requisitioner,tax_name,functional_group,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,n_replicates_nutrition
Dieta-1_Exp1,Dieta-1-Exp-1,3,193.0,LMF-invivo,Dieta 1_Exp1,,89.0,9.5,89.53,17.68,35.48,71.52,2
Dieta-1_Exp2,Dieta-1-Exp-2,3,235.0,LMF-invivo,Dieta 1_Exp2,,89.0,9.5,89.53,0.0,0.0,0.0,2
Dieta-2_Exp1,Dieta-2-Exp-1,3,195.0,LMF-invivo,Dieta 2_Exp1,,89.0,9.1,89.58,13.79,33.91,67.86,2
Dieta-2_Exp2,Dieta-2-Exp-2,3,237.0,LMF-invivo,Dieta 2_Exp2,,89.0,9.1,89.58,0.0,0.0,0.0,2
F24-3416,CIAT-705,1,1.0,Genetic_bank,Indigofera suffruticosa,Herbaceous_legumes,91.97,12.68,87.32,33.01,28.05,45.22,2
F24-3417,CIAT-707,1,3.0,Genetic_bank,Alysicarpus ovalifolius,Herbaceous_legumes,90.09,12.07,87.93,25.4,25.44,54.11,2
F24-3418,CIAT-712,1,5.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,91.3,7.76,92.24,31.19,25.82,54.88,2
F24-3419,CIAT-749,1,7.0,Genetic_bank,Crotalaria juncea,Herbaceous_legumes,91.75,11.55,88.45,27.95,28.75,51.0,2
F24-3420,CIAT-768,1,9.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,92.17,8.7,91.3,29.46,25.73,54.21,2
F24-3421,CIAT-772,1,11.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,91.49,6.18,93.82,18.97,16.74,67.42,2
F24-3422,CIAT-819,1,13.0,Genetic_bank,Indigofera suffruticosa,Herbaceous_legumes,90.76,17.06,82.94,26.78,26.09,53.05,2
F24-3423,CIAT-905,1,15.0,Genetic_bank,Canavalia brasiliensis,Herbaceous_legumes,91.88,14.53,85.47,24.61,17.08,36.56,2
F24-3424,CIAT-913,1,17.0,Genetic_bank,Cajanus cajan,Shrub_Trees,94.77,9.21,90.79,25.18,40.42,60.86,2
F24-3425,CIAT-955,1,19.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,91.82,5.7,94.3,22.01,21.55,61.67,2
F24-3426,CIAT-989,1,111.0,Genetic_bank,Indigofera hirsuta,Herbaceous_legumes,92.37,13.66,86.34,25.35,47.63,53.1,2
F24-3427,CIAT-1257,1,113.0,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,92.72,9.52,90.48,17.96,35.9,69.91,2
F24-3428,CIAT-3240,1,115.0,Genetic_bank,Desmodium cinereum,Herbaceous_legumes,92.86,12.01,87.99,22.63,24.91,56.34,4
F24-3429,CIAT-3522,1,117.0,Genetic_bank,Desmodium incanum,Herbaceous_legumes,93.28,11.05,88.95,17.94,47.97,64.48,2
F24-3430,CIAT-4134,1,119.0,Genetic_bank,Macroptilium lathyroides,Herbaceous_legumes,91.91,14.36,85.64,22.09,24.29,43.65,2
F24-3431,CIAT-4279,1,121.0,Genetic_bank,Vigna umbellata,Herbaceous_legumes,91.04,11.02,88.98,25.72,13.14,52.82,2
F24-3432,CIAT-5124,1,123.0,Genetic_bank,Centrosema molle x acutifolium,Herbaceous_legumes,91.54,10.36,89.64,25.78,37.61,65.51,2
